out|output|file
random|random|jedi
luc|luckyNumbers|clangd
lu|luckyNumbers|clangd
ce|celebrity|clangd
p|pluralNoun|clangd
cl|celebrity|clangd
grad|grade|clangd
cl|close|jedi
my|mysock|jedi
de|decode|jedi
break|break|jedi
rec|recv|jedi
mys|mysock|jedi
en|encode|jedi
p|pr4e|around
SOCK_ST|SOCK_STREAM|jedi
so|socket|jedi
AF_I|AF_INET|jedi
soc|socket|jedi
sockets|socketserver|jedi
pr|printf|clangd
prinf|printf|clangd
for|for|clangd
scaf|scanf|clangd
scanf|scanf|clangd
scan|scanf|clangd
fa|fastgcd|jedi
re|return|around
rdup|rdup|around
stdl|stdlib.h>|clangd
math.|math.h>|clangd
incl|include|clangd
fav|favorite|around
stati|static|clangd
Go|George|around
|stdio.h>|clangd
inc|include|clangd
